Fecha,Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas interesadas
2025-12-27,NCip9sBZ2yk,Santiago Acosta analiza en T13 Finde la tensión entre Venezuela y EE.UU.,"Dec 11, 2025",591,0
2025-12-28,NCip9sBZ2yk,Santiago Acosta analiza en T13 Finde la tensión entre Venezuela y EE.UU.,"Dec 11, 2025",591,0
2025-12-29,NCip9sBZ2yk,Santiago Acosta analiza en T13 Finde la tensión entre Venezuela y EE.UU.,"Dec 11, 2025",591,0
2025-12-30,NCip9sBZ2yk,Santiago Acosta analiza en T13 Finde la tensión entre Venezuela y EE.UU.,"Dec 11, 2025",591,0
2025-12-31,NCip9sBZ2yk,Santiago Acosta analiza en T13 Finde la tensión entre Venezuela y EE.UU.,"Dec 11, 2025",591,0
2025-12-01,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-02,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-03,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-04,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-05,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-06,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-07,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-08,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-09,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-10,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-11,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-12,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-13,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-14,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-15,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-16,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-17,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-18,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-19,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-20,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-21,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-22,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-23,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-24,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-25,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,0
2025-12-26,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,216
2025-12-27,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,137
2025-12-28,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,17
2025-12-29,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,8
2025-12-30,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,1
2025-12-31,UJ-W-67sA38,"Emilia García en CNN Chile Radio: elecciones, oficialismo y el nuevo escenario político","Dec 26, 2025",1629,4
2025-12-01,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-02,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-03,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-04,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-05,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
